Orthogroup	Duplications (all)	Duplications (50% support)
OG0000222	3	2
OG0000223	36	36
OG0000224	40	39
OG0000225	34	25
OG0000226	9	6
OG0000227	63	44
OG0000228	11	7
OG0000229	42	23
OG0000230	33	31
OG0000231	7	6
OG0000232	45	34
OG0000233	31	29
OG0000234	75	64
OG0000235	35	35
OG0000236	51	45
OG0000237	17	5
OG0000238	51	49
OG0000239	72	65
OG0000240	23	20
OG0000241	22	14
OG0000242	25	20
OG0000243	28	27
OG0000244	55	41
OG0000245	65	51
OG0000246	58	42
OG0000247	26	26
OG0000248	12	11
OG0000249	6	6
OG0000250	27	24
OG0000251	51	49
OG0000252	59	44
OG0000253	63	44
OG0000254	21	19
OG0000255	37	35
OG0000256	23	15
OG0000257	12	9
OG0000258	67	53
OG0000259	43	38
OG0000260	40	35
OG0000261	67	62
OG0000262	31	27
OG0000263	45	42
OG0000264	14	11
OG0000265	49	44
OG0000266	47	43
OG0000267	75	63
OG0000268	42	27
OG0000269	82	80
OG0000270	13	7
OG0000271	6	6
OG0000272	27	21
OG0000273	6	2
OG0000274	36	33
OG0000275	49	39
OG0000276	19	18
OG0000277	59	44
OG0000278	35	32
OG0000279	41	41
OG0000280	12	8
OG0000281	15	13
OG0000282	27	24
OG0000283	27	24
OG0000284	24	23
OG0000285	11	9
OG0000286	5	4
OG0000287	37	33
OG0000288	39	35
OG0000289	36	33
OG0000290	22	22
OG0000291	26	22
OG0000292	47	38
OG0000293	11	10
OG0000294	45	36
OG0000295	12	10
OG0000296	23	20
OG0000297	12	9
OG0000298	22	20
OG0000299	39	25
OG0000300	3	3
OG0000301	28	25
OG0000302	37	33
OG0000303	13	6
OG0000304	49	47
OG0000305	32	31
OG0000306	43	37
OG0000307	4	4
OG0000308	12	8
OG0000309	56	44
OG0000310	14	10
OG0000311	14	11
OG0000312	10	7
OG0000313	10	7
OG0000314	18	18
OG0000315	7	6
OG0000316	57	52
OG0000317	58	52
OG0000318	60	60
OG0000319	12	7
OG0000320	18	12
OG0000321	35	30
OG0000322	31	30
OG0000323	30	24
OG0000324	16	14
OG0000325	38	34
OG0000326	14	12
OG0000327	8	7
OG0000328	13	11
OG0000329	17	17
OG0000330	40	40
OG0000331	38	33
OG0000332	9	8
OG0000333	13	13
OG0000334	17	13
OG0000335	6	5
OG0000336	55	46
OG0000337	30	26
OG0000338	6	3
OG0000339	34	30
OG0000340	14	12
OG0000341	11	2
OG0000342	22	17
OG0000343	32	29
OG0000344	41	33
OG0000345	11	9
OG0000346	10	10
OG0000347	42	39
OG0000348	57	54
OG0000349	12	12
OG0000350	42	35
OG0000351	8	5
OG0000352	26	17
OG0000353	30	28
OG0000354	20	17
OG0000355	21	15
OG0000356	8	8
OG0000357	59	49
OG0000358	21	21
OG0000359	76	76
OG0000360	20	18
OG0000361	45	29
OG0000362	34	20
OG0000363	31	26
OG0000364	23	23
OG0000365	9	8
OG0000366	3	2
OG0000367	22	19
OG0000368	3	2
OG0000369	15	14
OG0000370	8	7
OG0000371	20	16
OG0000372	3	1
OG0000373	9	8
OG0000374	71	71
OG0000375	25	19
OG0000376	5	4
OG0000377	5	4
OG0000378	5	4
OG0000379	4	1
OG0000380	14	13
OG0000381	36	33
OG0000382	46	42
OG0000383	48	42
OG0000384	7	7
OG0000385	49	39
OG0000386	31	26
OG0000387	15	13
OG0000388	11	9
OG0000389	30	28
OG0000390	8	8
OG0000391	47	38
OG0000392	5	2
OG0000393	5	4
OG0000394	18	18
OG0000395	53	44
OG0000396	22	19
OG0000397	6	6
OG0000398	4	2
OG0000399	27	21
OG0000400	10	10
OG0000401	15	12
OG0000402	14	11
OG0000403	2	1
OG0000404	50	43
OG0000405	7	6
OG0000406	4	3
OG0000407	3	2
OG0000408	5	5
OG0000409	4	2
OG0000410	4	4
OG0000411	3	3
OG0000412	2	2
OG0000413	18	17
OG0000414	4	4
OG0000415	4	3
OG0000416	23	21
OG0000417	36	34
OG0000418	7	6
OG0000419	3	3
OG0000420	3	2
OG0000421	21	18
OG0000422	2	2
OG0000423	23	23
OG0000424	7	7
OG0000425	15	12
OG0000426	5	4
OG0000427	8	8
OG0000428	10	2
OG0000429	17	16
OG0000430	15	14
OG0000431	30	29
OG0000432	27	26
OG0000433	5	5
OG0000434	17	15
OG0000435	3	3
OG0000436	8	7
OG0000437	5	4
OG0000438	6	4
OG0000439	5	4
OG0000440	10	5
OG0000441	4	4
OG0000442	1	1
OG0000443	7	6
OG0000444	4	3
OG0000445	2	1
OG0000446	25	22
OG0000447	3	3
OG0000448	14	11
OG0000449	2	1
OG0000450	14	10
OG0000451	47	45
OG0000452	9	7
OG0000453	11	10
OG0000454	2	2
OG0000455	23	15
OG0000456	18	14
OG0000457	1	1
OG0000458	2	2
OG0000459	27	24
OG0000460	15	13
OG0000461	4	3
OG0000462	9	9
OG0000463	11	5
OG0000464	46	40
OG0000465	13	10
OG0000466	3	3
OG0000467	5	5
OG0000468	11	11
OG0000469	1	1
OG0000470	12	7
OG0000471	8	6
OG0000472	16	14
OG0000473	10	9
OG0000474	27	15
OG0000475	4	4
OG0000476	16	11
OG0000477	5	5
OG0000478	21	15
OG0000479	34	26
OG0000480	7	6
OG0000481	18	13
OG0000482	2	2
OG0000483	18	13
OG0000484	32	32
OG0000485	26	21
OG0000486	3	3
OG0000487	20	16
OG0000488	39	20
OG0000489	1	1
OG0000490	2	2
OG0000491	7	7
OG0000492	12	1
OG0000493	3	2
OG0000494	4	4
OG0000495	4	3
OG0000496	18	15
OG0000497	38	28
OG0000498	3	3
OG0000499	25	25
OG0000500	7	6
OG0000501	9	6
OG0000502	10	8
OG0000503	36	30
OG0000504	14	14
OG0000505	18	16
OG0000506	19	16
OG0000507	9	9
OG0000508	3	3
OG0000509	9	8
OG0000510	3	3
OG0000511	5	4
OG0000512	21	21
OG0000513	4	4
OG0000514	19	16
OG0000515	17	15
OG0000516	16	13
OG0000517	4	4
OG0000518	4	4
OG0000519	9	8
OG0000520	38	26
OG0000521	17	13
OG0000522	12	12
OG0000523	17	15
OG0000524	11	8
OG0000525	2	1
OG0000526	7	6
OG0000527	8	7
OG0000528	1	1
OG0000529	14	13
OG0000530	3	1
OG0000531	2	1
OG0000532	8	6
OG0000533	2	2
OG0000534	3	3
OG0000535	22	21
OG0000536	4	3
OG0000537	3	3
OG0000538	8	6
OG0000539	1	1
OG0000540	10	9
OG0000541	23	16
OG0000542	8	1
OG0000543	21	16
OG0000544	21	20
OG0000545	8	4
OG0000546	8	6
OG0000547	3	1
OG0000548	14	10
OG0000549	7	1
OG0000550	18	17
OG0000551	8	6
OG0000552	22	21
OG0000553	7	0
OG0000554	9	7
OG0000555	11	7
OG0000556	18	14
OG0000557	24	24
OG0000558	9	9
OG0000559	8	5
OG0000560	14	13
OG0000561	50	46
OG0000562	33	21
OG0000563	1	1
OG0000564	18	17
OG0000565	2	1
OG0000566	19	17
OG0000567	4	3
OG0000568	1	1
OG0000569	5	4
OG0000570	5	2
OG0000571	3	3
OG0000572	2	1
OG0000573	8	0
OG0000574	12	10
OG0000575	3	3
OG0000576	1	1
OG0000577	42	35
OG0000578	8	5
OG0000579	14	11
OG0000580	3	2
OG0000581	25	25
OG0000582	5	3
OG0000583	1	1
OG0000584	13	10
OG0000585	6	0
OG0000586	6	6
OG0000587	4	2
OG0000588	24	24
OG0000589	11	7
OG0000590	32	30
OG0000591	6	2
OG0000592	7	4
OG0000593	14	11
OG0000594	10	8
OG0000595	3	0
OG0000596	2	2
OG0000597	5	2
OG0000598	7	7
OG0000599	8	2
OG0000600	17	13
OG0000601	6	2
OG0000602	9	8
OG0000603	12	9
OG0000604	6	6
OG0000605	30	26
OG0000606	17	14
OG0000607	22	15
OG0000608	36	33
OG0000609	57	57
OG0000610	7	4
OG0000611	7	5
OG0000612	23	23
OG0000613	4	4
OG0000614	9	7
OG0000615	20	17
OG0000616	13	12
OG0000617	10	10
OG0000618	2	2
OG0000619	9	8
OG0000620	16	12
OG0000621	14	13
OG0000622	6	2
OG0000623	6	4
OG0000624	20	18
OG0000625	47	46
OG0000626	13	10
OG0000627	33	30
OG0000628	22	14
OG0000629	1	1
OG0000630	3	3
OG0000631	11	9
OG0000632	1	1
OG0000633	7	3
OG0000634	7	1
OG0000635	19	19
OG0000636	24	21
OG0000637	20	20
OG0000638	8	6
OG0000639	4	3
OG0000640	19	18
OG0000641	15	15
OG0000642	12	11
OG0000643	3	3
OG0000644	4	1
OG0000645	20	16
OG0000646	14	14
OG0000647	2	2
OG0000648	4	4
OG0000649	13	9
OG0000650	1	1
OG0000651	18	17
OG0000652	20	19
OG0000653	45	45
OG0000654	54	54
OG0000655	19	19
OG0000656	5	5
OG0000657	21	20
OG0000658	3	3
OG0000659	2	2
OG0000660	1	1
OG0000661	2	1
OG0000662	11	8
OG0000663	19	18
OG0000664	7	5
OG0000665	21	21
OG0000666	14	13
OG0000667	2	1
OG0000668	18	18
OG0000669	3	2
OG0000670	2	1
OG0000671	3	1
OG0000672	8	6
OG0000673	20	19
OG0000674	51	51
OG0000675	7	5
OG0000676	7	6
OG0000677	7	3
OG0000678	1	1
OG0000679	7	6
OG0000680	10	8
OG0000681	9	5
OG0000682	7	5
OG0000683	8	5
OG0000684	10	5
OG0000685	9	9
OG0000686	6	4
OG0000687	9	5
OG0000688	9	8
OG0000689	21	16
OG0000690	15	12
OG0000691	8	5
OG0000692	9	8
OG0000693	4	2
OG0000694	9	8
OG0000695	10	10
OG0000696	5	3
OG0000697	8	0
OG0000698	14	13
OG0000699	9	6
OG0000700	9	8
OG0000701	1	0
OG0000702	10	10
OG0000703	2	1
OG0000704	12	9
OG0000705	6	5
OG0000706	19	18
OG0000707	14	13
OG0000708	1	0
OG0000709	12	11
OG0000710	16	15
OG0000711	4	0
OG0000712	16	16
OG0000713	11	10
OG0000714	4	1
OG0000715	22	17
OG0000716	48	37
OG0000717	12	9
OG0000718	7	6
OG0000719	2	0
OG0000720	1	1
OG0000721	14	14
OG0000722	10	6
OG0000723	4	2
OG0000724	11	11
OG0000725	2	0
OG0000726	12	11
OG0000727	9	9
OG0000728	7	3
OG0000729	8	8
OG0000730	4	1
OG0000731	10	10
OG0000732	9	7
OG0000733	3	3
OG0000734	16	12
OG0000735	11	10
OG0000736	6	5
OG0000737	5	4
OG0000738	13	13
OG0000739	38	37
OG0000740	24	19
OG0000741	27	23
OG0000742	35	30
OG0000743	32	25
OG0000744	7	5
OG0000745	1	0
OG0000746	8	2
OG0000747	7	7
OG0000748	1	0
OG0000749	12	10
OG0000750	10	7
OG0000751	13	13
OG0000752	3	1
OG0000753	15	15
OG0000754	26	19
OG0000755	15	14
OG0000756	36	34
OG0000757	25	24
OG0000758	43	43
OG0000759	41	40
OG0000760	48	48
OG0000761	9	7
OG0000762	3	0
OG0000763	12	11
OG0000764	4	4
OG0000765	9	5
OG0000766	1	0
OG0000767	10	9
OG0000768	30	28
OG0000769	10	8
OG0000770	3	0
OG0000771	9	8
OG0000772	13	13
OG0000773	12	10
OG0000774	16	16
OG0000775	5	2
OG0000776	11	11
OG0000777	13	13
OG0000778	20	18
OG0000779	3	2
OG0000780	8	5
OG0000781	5	2
OG0000782	13	10
OG0000783	9	9
OG0000784	3	2
OG0000785	29	13
OG0000786	10	9
OG0000787	14	14
OG0000788	7	5
OG0000789	7	7
OG0000790	3	3
OG0000791	9	6
OG0000792	15	10
OG0000793	8	7
OG0000794	10	7
OG0000795	10	5
OG0000796	5	2
OG0000797	7	7
OG0000798	3	1
OG0000799	6	2
OG0000800	6	4
OG0000801	8	5
OG0000802	8	8
OG0000803	2	0
OG0000804	9	9
OG0000805	4	1
OG0000806	13	13
OG0000807	8	7
OG0000808	8	8
OG0000809	5	1
OG0000810	10	7
OG0000811	4	0
OG0000812	13	11
OG0000813	9	9
OG0000814	1	0
OG0000815	4	3
OG0000816	4	1
OG0000817	1	0
OG0000818	5	1
OG0000819	6	5
OG0000820	2	0
OG0000821	4	1
OG0000822	11	11
OG0000823	9	7
OG0000824	10	9
OG0000825	26	21
OG0000826	3	2
OG0000827	29	24
OG0000828	31	28
OG0000829	19	17
OG0000830	5	0
OG0000831	8	6
OG0000832	3	2
OG0000833	8	6
OG0000834	5	5
OG0000835	10	9
OG0000836	9	8
OG0000837	13	12
OG0000838	3	1
OG0000839	17	9
OG0000840	23	15
OG0000841	4	3
OG0000842	6	4
OG0000843	8	6
OG0000844	7	7
OG0000845	14	12
OG0000846	10	8
OG0000847	8	5
OG0000848	7	5
OG0000849	8	7
OG0000850	8	5
OG0000851	4	1
OG0000852	13	13
OG0000853	9	2
OG0000854	17	15
OG0000855	3	1
OG0000856	19	11
OG0000857	15	4
OG0000858	46	46
OG0000859	46	46
OG0000860	6	4
OG0000861	3	0
OG0000862	3	2
OG0000863	8	6
OG0000864	29	24
OG0000865	3	3
OG0000866	9	5
OG0000867	11	11
OG0000868	3	1
OG0000869	6	4
OG0000870	5	1
OG0000871	19	14
OG0000872	7	6
OG0000873	8	8
OG0000874	10	8
OG0000875	3	0
OG0000876	13	10
OG0000877	5	5
OG0000878	11	11
OG0000879	1	0
OG0000880	10	9
OG0000881	7	7
OG0000882	10	9
OG0000883	1	0
OG0000884	11	11
OG0000885	6	5
OG0000886	10	10
OG0000887	11	10
OG0000888	4	1
OG0000889	9	5
OG0000890	7	7
OG0000891	8	7
OG0000892	9	9
OG0000893	11	11
OG0000894	7	7
OG0000895	9	8
OG0000896	6	2
OG0000897	6	3
OG0000898	44	44
OG0000899	19	14
OG0000900	3	0
OG0000901	6	4
OG0000902	5	3
OG0000903	3	2
OG0000904	10	7
OG0000905	5	1
OG0000906	5	3
OG0000907	5	3
OG0000908	5	4
OG0000909	3	0
OG0000910	4	2
OG0000911	9	9
OG0000912	10	10
OG0000913	6	3
OG0000914	2	1
OG0000915	5	5
OG0000916	14	12
OG0000917	9	9
OG0000918	10	10
OG0000919	1	0
OG0000920	6	6
OG0000921	8	8
OG0000922	19	18
OG0000923	9	8
OG0000924	5	3
OG0000925	7	6
OG0000926	7	7
OG0000927	3	1
OG0000928	7	6
OG0000929	3	2
OG0000930	9	9
OG0000931	3	2
OG0000932	4	2
OG0000933	25	18
OG0000934	5	4
OG0000935	5	5
OG0000936	3	3
OG0000937	3	0
OG0000938	5	4
OG0000939	4	1
OG0000940	8	6
OG0000941	2	0
OG0000942	6	3
OG0000943	7	6
OG0000944	3	3
OG0000945	9	8
OG0000946	28	25
OG0000947	36	34
OG0000948	8	8
OG0000949	9	4
OG0000950	6	6
OG0000951	8	5
OG0000952	4	3
OG0000953	5	5
OG0000954	5	2
OG0000955	9	9
OG0000956	7	7
OG0000957	6	2
OG0000958	3	2
OG0000959	8	6
OG0000960	7	7
OG0000961	3	1
OG0000962	10	8
OG0000963	7	7
OG0000964	6	5
OG0000965	2	1
OG0000966	6	3
OG0000967	4	3
OG0000968	10	9
OG0000969	10	8
OG0000970	12	10
OG0000971	4	3
OG0000972	8	8
OG0000973	6	3
OG0000974	3	3
OG0000975	9	8
OG0000976	5	4
OG0000977	9	9
OG0000978	4	4
OG0000979	16	9
OG0000980	34	34
OG0000981	4	2
OG0000982	26	24
OG0000983	4	2
OG0000984	1	0
OG0000985	7	6
OG0000986	6	6
OG0000987	5	2
OG0000988	5	4
OG0000989	7	7
OG0000990	5	4
OG0000991	7	6
OG0000992	2	1
OG0000993	25	20
OG0000994	1	0
OG0000995	6	6
OG0000996	21	14
OG0000997	8	7
OG0000998	12	11
OG0000999	7	6
OG0001000	5	5
OG0001001	6	6
OG0001002	21	18
OG0001003	8	7
OG0001004	3	2
OG0001005	3	3
OG0001006	7	6
OG0001007	1	0
OG0001008	1	0
OG0001009	3	2
OG0001010	6	5
OG0001011	5	1
OG0001012	2	0
OG0001013	5	3
OG0001014	6	6
OG0001015	7	7
OG0001016	6	6
OG0001017	5	5
OG0001018	4	1
OG0001019	5	2
OG0001020	7	5
OG0001021	14	14
OG0001022	7	7
OG0001023	8	7
OG0001024	3	2
OG0001025	5	3
OG0001026	9	9
OG0001027	3	0
OG0001028	4	3
OG0001029	3	1
OG0001030	7	7
OG0001031	3	3
OG0001032	8	8
OG0001033	8	8
OG0001034	5	5
OG0001035	5	4
OG0001036	40	40
OG0001037	36	32
OG0001038	6	5
OG0001039	4	2
OG0001040	5	4
OG0001041	7	7
OG0001042	8	7
OG0001043	6	4
OG0001044	10	9
OG0001045	26	19
OG0001046	4	3
OG0001047	4	2
OG0001048	6	5
OG0001049	3	3
OG0001050	4	3
OG0001051	6	6
OG0001052	3	1
OG0001053	4	2
OG0001054	5	3
OG0001055	2	1
OG0001056	6	6
OG0001057	4	1
OG0001058	6	5
OG0001059	2	1
OG0001060	7	6
OG0001061	5	4
OG0001062	5	3
OG0001063	6	4
OG0001064	8	8
OG0001065	8	7
OG0001066	6	3
OG0001067	3	0
OG0001068	5	4
OG0001069	4	2
OG0001070	2	2
OG0001071	10	8
OG0001072	6	5
OG0001073	6	5
OG0001074	9	9
OG0001075	3	0
OG0001076	4	1
OG0001077	3	2
OG0001078	6	6
OG0001079	6	5
OG0001080	4	1
OG0001081	8	5
OG0001082	4	3
OG0001083	5	1
OG0001084	4	4
OG0001085	6	6
OG0001086	6	4
OG0001087	4	4
OG0001088	2	1
OG0001089	3	2
OG0001090	5	5
OG0001091	6	1
OG0001092	3	1
OG0001093	6	6
OG0001094	7	6
OG0001095	10	10
OG0001096	7	5
OG0001097	3	2
OG0001098	4	1
OG0001099	6	4
OG0001100	4	2
OG0001101	3	3
OG0001102	22	22
OG0001103	2	0
OG0001104	6	2
OG0001105	6	4
OG0001106	3	2
OG0001107	39	39
OG0001108	13	10
OG0001109	22	14
OG0001110	8	8
OG0001111	30	23
OG0001112	3	3
OG0001113	1	0
OG0001114	6	6
OG0001115	6	6
OG0001116	2	0
OG0001117	3	3
OG0001118	3	1
OG0001119	4	3
OG0001120	4	2
OG0001121	5	5
OG0001122	5	2
OG0001123	5	3
OG0001124	4	1
OG0001125	6	3
OG0001126	6	6
OG0001127	8	7
OG0001128	3	1
OG0001129	6	5
OG0001130	4	4
OG0001131	6	5
OG0001132	4	3
OG0001133	5	4
OG0001134	3	1
OG0001135	3	1
OG0001136	2	2
OG0001137	5	2
OG0001138	6	6
OG0001139	3	2
OG0001140	2	2
OG0001141	7	7
OG0001142	1	0
OG0001143	5	5
OG0001144	3	3
OG0001145	6	2
OG0001146	4	1
OG0001147	3	2
OG0001148	7	7
OG0001149	3	3
OG0001150	4	1
OG0001151	5	5
OG0001152	4	4
OG0001153	5	5
OG0001154	3	3
OG0001155	3	3
OG0001156	5	4
OG0001157	2	2
OG0001158	4	2
OG0001159	2	1
OG0001160	5	3
OG0001161	3	0
OG0001162	6	6
OG0001163	6	6
OG0001164	4	4
OG0001165	3	1
OG0001166	6	6
OG0001167	5	0
OG0001168	4	4
OG0001169	4	4
OG0001170	4	1
OG0001171	3	0
OG0001172	13	9
OG0001173	7	7
OG0001174	5	3
OG0001175	3	2
OG0001176	10	10
OG0001177	3	3
OG0001178	5	4
OG0001179	1	0
OG0001180	6	6
OG0001181	5	5
OG0001182	2	0
OG0001183	3	3
OG0001184	1	0
OG0001185	5	4
OG0001186	2	1
OG0001187	3	2
OG0001188	4	3
OG0001189	7	5
OG0001190	5	5
OG0001191	3	1
OG0001192	6	5
OG0001193	1	0
OG0001194	3	3
OG0001195	4	3
OG0001196	2	0
OG0001197	6	6
OG0001198	6	6
OG0001199	3	3
OG0001200	2	2
OG0001201	5	4
OG0001202	4	2
OG0001203	6	5
OG0001204	3	3
OG0001205	6	4
OG0001206	6	6
OG0001207	6	6
OG0001208	7	7
OG0001209	3	1
OG0001210	33	33
OG0001211	15	13
OG0001212	24	22
OG0001213	33	32
OG0001214	39	39
OG0001215	38	38
OG0001216	5	5
OG0001217	2	1
OG0001218	2	0
OG0001219	4	3
OG0001220	5	5
OG0001221	6	6
OG0001222	1	1
OG0001223	1	0
OG0001224	3	3
OG0001225	4	3
OG0001226	4	2
OG0001227	5	5
OG0001228	2	0
OG0001229	4	3
OG0001230	4	2
OG0001231	4	1
OG0001232	11	9
OG0001233	7	7
OG0001234	5	5
OG0001235	3	2
OG0001236	1	0
OG0001237	4	4
OG0001238	1	0
OG0001239	5	5
OG0001240	3	3
OG0001241	2	1
OG0001242	3	1
OG0001243	4	1
OG0001244	3	0
OG0001245	5	5
OG0001246	4	4
OG0001247	4	2
OG0001248	4	3
OG0001249	8	8
OG0001250	5	5
OG0001251	7	7
OG0001252	4	3
OG0001253	3	3
OG0001254	4	2
OG0001255	6	6
OG0001256	4	3
OG0001257	4	4
OG0001258	5	3
OG0001259	3	1
OG0001260	8	8
OG0001261	6	5
OG0001262	2	0
OG0001263	4	1
OG0001264	2	1
OG0001265	2	1
OG0001266	4	4
OG0001267	5	0
OG0001268	2	1
OG0001269	1	0
OG0001270	4	4
OG0001271	4	3
OG0001272	2	2
OG0001273	4	4
OG0001274	5	5
OG0001275	4	4
OG0001276	2	0
OG0001277	2	0
OG0001278	1	1
OG0001279	4	2
OG0001280	2	2
OG0001281	3	2
OG0001282	3	2
OG0001283	3	2
OG0001284	5	5
OG0001285	3	2
OG0001286	1	1
OG0001287	4	3
OG0001288	2	1
OG0001289	4	2
OG0001290	6	5
OG0001291	5	5
OG0001292	5	4
OG0001293	4	3
OG0001294	2	0
OG0001295	4	4
OG0001296	3	2
OG0001297	5	5
OG0001298	4	4
OG0001299	4	3
OG0001300	4	3
OG0001301	4	1
OG0001302	4	4
OG0001303	6	6
OG0001304	5	3
OG0001305	4	2
OG0001306	4	2
OG0001307	3	3
OG0001308	3	3
OG0001309	4	4
OG0001310	5	3
OG0001311	4	4
OG0001312	5	5
OG0001313	5	5
OG0001314	4	4
OG0001315	5	5
OG0001316	5	5
OG0001317	3	2
OG0001318	4	2
OG0001319	2	2
OG0001320	5	5
OG0001321	3	3
OG0001322	6	6
OG0001323	4	3
OG0001324	6	6
OG0001325	4	1
OG0001326	4	1
OG0001327	2	0
OG0001328	2	1
OG0001329	2	0
OG0001330	3	1
OG0001331	5	5
OG0001332	7	5
OG0001333	4	2
OG0001334	4	4
OG0001335	3	2
OG0001336	4	3
OG0001337	3	1
OG0001338	2	2
OG0001339	5	5
OG0001340	4	3
OG0001341	6	6
OG0001342	5	5
OG0001343	2	1
OG0001344	4	2
OG0001345	6	6
OG0001346	3	2
OG0001347	21	18
OG0001348	9	9
OG0001349	3	2
OG0001350	15	14
OG0001351	35	34
OG0001352	3	3
OG0001353	3	1
OG0001354	4	3
OG0001355	3	2
OG0001356	3	1
OG0001357	3	1
OG0001358	4	4
OG0001359	4	4
OG0001360	3	2
OG0001361	2	1
OG0001362	4	4
OG0001363	4	4
OG0001364	2	0
OG0001365	2	0
OG0001366	4	3
OG0001367	4	4
OG0001368	3	3
OG0001369	4	4
OG0001370	4	4
OG0001371	4	4
OG0001372	3	3
OG0001373	4	3
OG0001374	4	3
OG0001375	4	4
OG0001376	4	3
OG0001377	4	3
OG0001378	4	3
OG0001379	3	3
OG0001380	3	2
OG0001381	3	1
OG0001382	2	0
OG0001383	2	1
OG0001384	3	2
OG0001385	2	1
OG0001386	3	3
OG0001387	5	4
OG0001388	4	4
OG0001389	1	0
OG0001390	4	2
OG0001391	2	1
OG0001392	1	0
OG0001393	3	3
OG0001394	4	4
